,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6539509536784741,0.6470588235294118,0.08333333333333333,0.1476510067114094,229,6,121,11
1,S1,0.6403269754768393,0.5,0.06818181818181818,0.12,226,9,123,9
2,S10,0.667574931880109,0.7083333333333334,0.12878787878787878,0.21794871794871795,228,7,115,17
3,S9,0.6403269754768393,0.5,0.05303030303030303,0.0958904109589041,228,7,125,7
4,S2,0.6539509536784741,0.6470588235294118,0.08333333333333333,0.1476510067114094,229,6,121,11
5,S3,0.662125340599455,0.6176470588235294,0.1590909090909091,0.25301204819277107,222,13,111,21
6,S6,0.6348773841961853,0.42857142857142855,0.045454545454545456,0.0821917808219178,227,8,126,6
7,S7,0.6512261580381471,0.625,0.07575757575757576,0.13513513513513514,229,6,122,10
8,S5,0.659400544959128,0.6060606060606061,0.15151515151515152,0.24242424242424243,222,13,112,20
9,S4,0.6811989100817438,0.6829268292682927,0.21212121212121213,0.3236994219653179,222,13,104,28
