,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6430517711171662,0.5048543689320388,0.3939393939393939,0.4425531914893617,184,51,80,52
1,S1,0.6430517711171662,0.5048543689320388,0.3939393939393939,0.4425531914893617,184,51,80,52
2,S10,0.6457765667574932,0.5096153846153846,0.4015151515151515,0.4491525423728814,184,51,79,53
3,S9,0.6403269754768393,0.5,0.38636363636363635,0.4358974358974359,184,51,81,51
4,S2,0.6430517711171662,0.5048543689320388,0.3939393939393939,0.4425531914893617,184,51,80,52
5,S3,0.6430517711171662,0.5047619047619047,0.4015151515151515,0.4472573839662447,183,52,79,53
6,S6,0.6403269754768393,0.5,0.3939393939393939,0.4406779661016949,183,52,80,52
7,S7,0.6457765667574932,0.5096153846153846,0.4015151515151515,0.4491525423728814,184,51,79,53
8,S5,0.6485013623978202,0.5142857142857142,0.4090909090909091,0.45569620253164556,184,51,78,54
9,S4,0.6457765667574932,0.5096153846153846,0.4015151515151515,0.4491525423728814,184,51,79,53
