,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.37057220708446864,0.18064516129032257,0.21212121212121213,0.1951219512195122,108,127,104,28
1,S1,0.3460490463215259,0.14,0.1590909090909091,0.14893617021276595,106,129,111,21
2,S10,0.6948228882833788,0.543859649122807,0.9393939393939394,0.6888888888888889,131,104,8,124
3,S9,0.6757493188010899,1.0,0.09848484848484848,0.1793103448275862,235,0,119,13
4,S2,0.659400544959128,0.5136186770428015,1.0,0.6786632390745502,110,125,0,132
5,S3,0.41689373297002724,0.25,0.3106060606060606,0.27702702702702703,112,123,91,41
6,S6,0.7629427792915532,0.9090909090909091,0.3787878787878788,0.5347593582887701,230,5,82,50
7,S7,0.997275204359673,1.0,0.9924242424242424,0.9961977186311787,235,0,1,131
8,S5,0.7166212534059946,0.7413793103448276,0.32575757575757575,0.45263157894736844,220,15,89,43
9,S4,0.6539509536784741,0.5097276264591439,0.9924242424242424,0.6735218508997429,109,126,1,131
