,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.662125340599455,0.8333333333333334,0.07575757575757576,0.1388888888888889,233,2,122,10
1,S1,0.659400544959128,0.8888888888888888,0.06060606060606061,0.11347517730496454,234,1,124,8
2,S10,0.6730245231607629,0.875,0.10606060606060606,0.1891891891891892,233,2,118,14
3,S9,0.6539509536784741,0.8571428571428571,0.045454545454545456,0.08633093525179857,234,1,126,6
4,S2,0.662125340599455,0.8333333333333334,0.07575757575757576,0.1388888888888889,233,2,122,10
5,S3,0.6784741144414169,0.85,0.12878787878787878,0.2236842105263158,232,3,115,17
6,S6,0.6485013623978202,0.6666666666666666,0.045454545454545456,0.0851063829787234,232,3,126,6
7,S7,0.6648501362397821,0.9090909090909091,0.07575757575757576,0.13986013986013987,234,1,122,10
8,S5,0.6866485013623979,0.9047619047619048,0.14393939393939395,0.24836601307189543,233,2,113,19
9,S4,0.7057220708446866,0.9285714285714286,0.19696969696969696,0.325,233,2,106,26
