,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.670299727520436,0.5714285714285714,0.3333333333333333,0.42105263157894735,202,33,88,44
1,S1,0.6893732970027248,0.5957446808510638,0.42424242424242425,0.49557522123893805,197,38,76,56
2,S10,0.6839237057220708,0.5833333333333334,0.42424242424242425,0.49122807017543857,195,40,76,56
3,S9,0.6920980926430518,0.6021505376344086,0.42424242424242425,0.49777777777777776,198,37,76,56
4,S2,0.7057220708446866,0.6304347826086957,0.4393939393939394,0.5178571428571429,201,34,74,58
5,S3,0.6948228882833788,0.6041666666666666,0.4393939393939394,0.5087719298245614,197,38,74,58
6,S6,0.6485013623978202,0.5180722891566265,0.32575757575757575,0.4,195,40,89,43
7,S7,0.6485013623978202,0.5168539325842697,0.3484848484848485,0.416289592760181,192,43,86,46
8,S5,0.7057220708446866,0.6176470588235294,0.4772727272727273,0.5384615384615384,196,39,69,63
9,S4,0.7057220708446866,0.6071428571428571,0.5151515151515151,0.5573770491803278,191,44,64,68
