,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6103542234332425,0.4421052631578947,0.3181818181818182,0.3700440528634361,182,53,90,42
1,S1,0.6485013623978202,0.5148514851485149,0.3939393939393939,0.44635193133047213,186,49,80,52
2,S10,0.6430517711171662,0.5047619047619047,0.4015151515151515,0.4472573839662447,183,52,79,53
3,S9,0.6403269754768393,0.5,0.38636363636363635,0.4358974358974359,184,51,81,51
4,S2,0.6376021798365122,0.494949494949495,0.3712121212121212,0.42424242424242425,185,50,83,49
5,S3,0.6403269754768393,0.5,0.3939393939393939,0.4406779661016949,183,52,80,52
6,S6,0.6321525885558583,0.4854368932038835,0.3787878787878788,0.425531914893617,182,53,82,50
7,S7,0.6403269754768393,0.5,0.3939393939393939,0.4406779661016949,183,52,80,52
8,S5,0.6512261580381471,0.5188679245283019,0.4166666666666667,0.46218487394957986,184,51,77,55
9,S4,0.6321525885558583,0.4845360824742268,0.3560606060606061,0.4104803493449782,185,50,85,47
