,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.3923705722070845,0.18181818181818182,0.19696969696969696,0.1890909090909091,118,117,106,26
1,S1,0.3978201634877384,0.17037037037037037,0.17424242424242425,0.17228464419475656,123,112,109,23
2,S10,0.6975476839237057,0.64,0.36363636363636365,0.463768115942029,208,27,84,48
3,S9,0.6730245231607629,0.8,0.12121212121212122,0.21052631578947367,231,4,116,16
4,S2,0.670299727520436,0.5220883534136547,0.9848484848484849,0.6824146981627297,116,119,2,130
5,S3,0.45231607629427795,0.2830188679245283,0.3409090909090909,0.30927835051546393,121,114,87,45
6,S6,0.6784741144414169,0.7058823529411765,0.18181818181818182,0.2891566265060241,225,10,108,24
7,S7,0.9209809264305178,0.9813084112149533,0.7954545454545454,0.8786610878661087,233,2,27,105
8,S5,0.6539509536784741,0.5324675324675324,0.3106060606060606,0.3923444976076555,199,36,91,41
9,S4,0.6512261580381471,0.508,0.9621212121212122,0.6649214659685864,112,123,5,127
