,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6920980926430518,0.5703703703703704,0.5833333333333334,0.5767790262172284,177,58,55,77
1,S1,0.670299727520436,0.5369127516778524,0.6060606060606061,0.5693950177935944,166,69,52,80
2,S10,0.6920980926430518,0.5590062111801242,0.6818181818181818,0.6143344709897611,164,71,42,90
3,S9,0.6866485013623979,0.5534591194968553,0.6666666666666666,0.6048109965635738,164,71,44,88
4,S2,0.7002724795640327,0.569620253164557,0.6818181818181818,0.6206896551724138,167,68,42,90
5,S3,0.7002724795640327,0.5670731707317073,0.7045454545454546,0.6283783783783784,164,71,39,93
6,S6,0.6321525885558583,0.48854961832061067,0.48484848484848486,0.4866920152091255,168,67,68,64
7,S7,0.6648501362397821,0.5298013245033113,0.6060606060606061,0.5653710247349824,164,71,52,80
8,S5,0.6975476839237057,0.5652173913043478,0.6893939393939394,0.621160409556314,165,70,41,91
9,S4,0.7084468664850136,0.5730994152046783,0.7424242424242424,0.6468646864686468,162,73,34,98
