,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.7275204359673024,0.6212121212121212,0.6212121212121212,0.6212121212121212,185,50,50,82
1,S1,0.6811989100817438,0.5609756097560976,0.5227272727272727,0.5411764705882353,181,54,63,69
2,S10,0.6893732970027248,0.5865384615384616,0.4621212121212121,0.5169491525423728,192,43,71,61
3,S9,0.670299727520436,0.5495495495495496,0.4621212121212121,0.5020576131687243,185,50,71,61
4,S2,0.7166212534059946,0.6147540983606558,0.5681818181818182,0.5905511811023622,188,47,57,75
5,S3,0.6512261580381471,0.5208333333333334,0.3787878787878788,0.43859649122807015,189,46,82,50
6,S6,0.6920980926430518,0.6043956043956044,0.4166666666666667,0.49327354260089684,199,36,77,55
7,S7,0.7084468664850136,0.6344086021505376,0.44696969696969696,0.5244444444444445,201,34,73,59
8,S5,0.7057220708446866,0.5967741935483871,0.5606060606060606,0.578125,185,50,58,74
9,S4,0.7602179836512262,0.6929824561403509,0.5984848484848485,0.6422764227642277,200,35,53,79
