,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6485013623978202,0.5164835164835165,0.3560606060606061,0.42152466367713004,191,44,85,47
1,S1,0.6049046321525886,0.42168674698795183,0.26515151515151514,0.32558139534883723,187,48,97,35
2,S10,0.5885558583106267,0.39080459770114945,0.25757575757575757,0.3105022831050228,182,53,98,34
3,S9,0.6457765667574932,0.5106382978723404,0.36363636363636365,0.4247787610619469,189,46,84,48
4,S2,0.5122615803814714,0.0392156862745098,0.015151515151515152,0.02185792349726776,186,49,130,2
5,S3,0.6321525885558583,0.48484848484848486,0.36363636363636365,0.4155844155844156,184,51,84,48
6,S6,0.6239782016348774,0.46875,0.3409090909090909,0.39473684210526316,184,51,87,45
7,S7,0.6103542234332425,0.43956043956043955,0.30303030303030304,0.35874439461883406,184,51,92,40
8,S5,0.6457765667574932,0.51,0.38636363636363635,0.4396551724137931,186,49,81,51
9,S4,0.6130790190735694,0.45,0.3409090909090909,0.3879310344827586,180,55,87,45
