,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.7275204359673024,0.6,0.7272727272727273,0.6575342465753424,171,64,36,96
1,S1,0.7084468664850136,0.5786163522012578,0.696969696969697,0.6323024054982818,168,67,40,92
2,S10,0.7302452316076294,0.6050955414012739,0.7196969696969697,0.657439446366782,173,62,37,95
3,S9,0.6730245231607629,0.54,0.6136363636363636,0.574468085106383,166,69,51,81
4,S2,0.7002724795640327,0.5733333333333334,0.6515151515151515,0.6099290780141844,171,64,46,86
5,S3,0.6730245231607629,0.5454545454545454,0.5454545454545454,0.5454545454545454,175,60,60,72
6,S6,0.670299727520436,0.5419847328244275,0.5378787878787878,0.5399239543726235,175,60,61,71
7,S7,0.7111716621253406,0.5915492957746479,0.6363636363636364,0.6131386861313869,177,58,48,84
8,S5,0.6920980926430518,0.5620915032679739,0.6515151515151515,0.6035087719298246,168,67,46,86
9,S4,0.7629427792915532,0.6470588235294118,0.75,0.6947368421052632,181,54,33,99
