,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6103542234332425,0.43209876543209874,0.26515151515151514,0.3286384976525822,189,46,97,35
1,S1,0.7084468664850136,0.6086956521739131,0.5303030303030303,0.5668016194331984,190,45,62,70
2,S10,0.6784741144414169,0.553030303030303,0.553030303030303,0.553030303030303,176,59,59,73
3,S9,0.667574931880109,0.5403225806451613,0.5075757575757576,0.5234375,178,57,65,67
4,S2,0.6920980926430518,0.5855855855855856,0.49242424242424243,0.5349794238683128,189,46,67,65
5,S3,0.7084468664850136,0.6190476190476191,0.49242424242424243,0.5485232067510548,195,40,67,65
6,S6,0.6485013623978202,0.5126050420168067,0.4621212121212121,0.4860557768924303,177,58,71,61
7,S7,0.6730245231607629,0.5461538461538461,0.5378787878787878,0.5419847328244275,176,59,61,71
8,S5,0.6512261580381471,0.5188679245283019,0.4166666666666667,0.46218487394957986,184,51,77,55
9,S4,0.6049046321525886,0.44881889763779526,0.4318181818181818,0.44015444015444016,165,70,75,57
