,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.553133514986376,0.15217391304347827,0.05303030303030303,0.07865168539325842,196,39,125,7
1,S1,0.5640326975476839,0.25862068965517243,0.11363636363636363,0.15789473684210525,192,43,117,15
2,S10,0.5967302452316077,0.3918918918918919,0.2196969696969697,0.2815533980582524,190,45,103,29
3,S9,0.5994550408719346,0.3972602739726027,0.2196969696969697,0.28292682926829266,191,44,103,29
4,S2,0.6185286103542235,0.4583333333333333,0.3333333333333333,0.38596491228070173,183,52,88,44
5,S3,0.4877384196185286,0.04838709677419355,0.022727272727272728,0.030927835051546393,176,59,129,3
6,S6,0.6811989100817438,0.5842696629213483,0.3939393939393939,0.47058823529411764,198,37,80,52
7,S7,0.5422343324250681,0.10869565217391304,0.03787878787878788,0.056179775280898875,194,41,127,5
8,S5,0.6212534059945504,0.45977011494252873,0.30303030303030304,0.365296803652968,188,47,92,40
9,S4,0.670299727520436,0.5578947368421052,0.4015151515151515,0.4669603524229075,193,42,79,53
