,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.7983651226158038,0.6666666666666666,0.8787878787878788,0.7581699346405228,177,58,16,116
1,S1,0.782016348773842,0.75,0.5909090909090909,0.6610169491525424,209,26,54,78
2,S10,0.553133514986376,0.41919191919191917,0.6287878787878788,0.503030303030303,120,115,49,83
3,S9,0.8392370572207084,0.8230088495575221,0.7045454545454546,0.7591836734693878,215,20,39,93
4,S2,0.7656675749318801,0.6642857142857143,0.7045454545454546,0.6838235294117647,188,47,39,93
5,S3,0.6485013623978202,0.5076142131979695,0.7575757575757576,0.60790273556231,138,97,32,100
6,S6,0.7438692098092643,0.6357142857142857,0.6742424242424242,0.6544117647058824,184,51,43,89
7,S7,0.9673024523160763,0.9545454545454546,0.9545454545454546,0.9545454545454546,229,6,6,126
8,S5,0.6267029972752044,0.48,0.45454545454545453,0.4669260700389105,170,65,72,60
9,S4,0.6321525885558583,0.49162011173184356,0.6666666666666666,0.5659163987138264,144,91,44,88
