,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.779291553133515,0.6424581005586593,0.8712121212121212,0.7395498392282959,171,64,17,115
1,S1,0.6893732970027248,0.5725806451612904,0.5378787878787878,0.5546875,182,53,61,71
2,S10,0.6539509536784741,0.5203252032520326,0.48484848484848486,0.5019607843137255,176,59,68,64
3,S9,0.7002724795640327,0.582089552238806,0.5909090909090909,0.5864661654135338,179,56,54,78
4,S2,0.7084468664850136,0.6016260162601627,0.5606060606060606,0.5803921568627451,186,49,58,74
5,S3,0.7574931880108992,0.6319018404907976,0.7803030303030303,0.6983050847457627,175,60,29,103
6,S6,0.6457765667574932,0.5083333333333333,0.4621212121212121,0.48412698412698413,176,59,71,61
7,S7,0.6784741144414169,0.5507246376811594,0.5757575757575758,0.562962962962963,173,62,56,76
8,S5,0.6430517711171662,0.5043478260869565,0.4393939393939394,0.46963562753036436,178,57,74,58
9,S4,0.6130790190735694,0.4621212121212121,0.4621212121212121,0.4621212121212121,164,71,71,61
