,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6839237057220708,0.5677966101694916,0.5075757575757576,0.536,184,51,65,67
1,S1,0.7138964577656676,0.6,0.6136363636363636,0.6067415730337079,181,54,51,81
2,S10,0.6403269754768393,0.5,0.6060606060606061,0.547945205479452,155,80,52,80
3,S9,0.6185286103542235,0.47101449275362317,0.49242424242424243,0.48148148148148145,162,73,67,65
4,S2,0.7220708446866485,0.6171875,0.5984848484848485,0.6076923076923076,186,49,53,79
5,S3,0.6839237057220708,0.5701754385964912,0.49242424242424243,0.5284552845528455,186,49,67,65
6,S6,0.6975476839237057,0.5777777777777777,0.5909090909090909,0.5842696629213483,178,57,54,78
7,S7,0.6920980926430518,0.5683453237410072,0.5984848484848485,0.5830258302583026,175,60,53,79
8,S5,0.6457765667574932,0.5078125,0.49242424242424243,0.5,172,63,67,65
9,S4,0.7384196185286104,0.6428571428571429,0.6136363636363636,0.627906976744186,190,45,51,81
