,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6185286103542235,0.4636363636363636,0.38636363636363635,0.4214876033057851,176,59,81,51
1,S1,0.6539509536784741,0.5247524752475248,0.4015151515151515,0.45493562231759654,187,48,79,53
2,S10,0.6103542234332425,0.44954128440366975,0.3712121212121212,0.4066390041493776,175,60,83,49
3,S9,0.6485013623978202,0.514018691588785,0.4166666666666667,0.4602510460251046,183,52,77,55
4,S2,0.6049046321525886,0.43434343434343436,0.32575757575757575,0.3722943722943723,179,56,89,43
5,S3,0.6294277929155313,0.47959183673469385,0.3560606060606061,0.40869565217391307,184,51,85,47
6,S6,0.6239782016348774,0.4727272727272727,0.3939393939393939,0.4297520661157025,177,58,80,52
7,S7,0.6975476839237057,0.5867768595041323,0.5378787878787878,0.5612648221343873,185,50,61,71
8,S5,0.6376021798365122,0.4948453608247423,0.36363636363636365,0.4192139737991266,186,49,84,48
9,S4,0.6512261580381471,0.5181818181818182,0.4318181818181818,0.47107438016528924,182,53,75,57
