,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.4114441416893733,0.25862068965517243,0.3409090909090909,0.29411764705882354,106,129,87,45
1,S1,0.41689373297002724,0.18461538461538463,0.18181818181818182,0.183206106870229,129,106,108,24
2,S10,0.7084468664850136,0.616822429906542,0.5,0.5523012552301255,194,41,66,66
3,S9,0.6839237057220708,0.7857142857142857,0.16666666666666666,0.275,229,6,110,22
4,S2,0.659400544959128,0.5151515151515151,0.9015151515151515,0.6556473829201102,123,112,13,119
5,S3,0.47956403269754766,0.30718954248366015,0.3560606060606061,0.3298245614035088,129,106,85,47
6,S6,0.6893732970027248,0.725,0.2196969696969697,0.3372093023255814,224,11,103,29
7,S7,0.9209809264305178,0.8456375838926175,0.9545454545454546,0.896797153024911,212,23,6,126
8,S5,0.6403269754768393,0.5,0.4015151515151515,0.44537815126050423,182,53,79,53
9,S4,0.6893732970027248,0.538135593220339,0.9621212121212122,0.6902173913043478,126,109,5,127
