,Patient_ID,Accuracy,Precision,Recall,F1_Score,True_Negative,False_Positive,False_Negative,True_Positive
0,S8,0.6866485013623979,0.562962962962963,0.5757575757575758,0.5692883895131086,176,59,56,76
1,S1,0.7166212534059946,0.5972222222222222,0.6515151515151515,0.6231884057971014,177,58,46,86
2,S10,0.7138964577656676,0.5894039735099338,0.6742424242424242,0.6289752650176679,173,62,43,89
3,S9,0.670299727520436,0.5413533834586466,0.5454545454545454,0.5433962264150943,174,61,60,72
4,S2,0.6839237057220708,0.5547945205479452,0.6136363636363636,0.5827338129496403,170,65,51,81
5,S3,0.7111716621253406,0.589041095890411,0.6515151515151515,0.6187050359712231,175,60,46,86
6,S6,0.667574931880109,0.5367647058823529,0.553030303030303,0.5447761194029851,172,63,59,73
7,S7,0.7029972752043597,0.5680473372781065,0.7272727272727273,0.6378737541528239,162,73,36,96
8,S5,0.6321525885558583,0.4883720930232558,0.4772727272727273,0.4827586206896552,169,66,69,63
9,S4,0.7329700272479565,0.6103896103896104,0.7121212121212122,0.6573426573426573,175,60,38,94
